FECHA,IRRADH00,IRRADH03,IRRADH06,IRRADH09,IRRADH12,IRRADH15,IRRADH18,IRRADH21,ANNO,MES,DIA,DIASEM
2015-01-01,0.0,0.0,0.0,523837.12,1271952.9,546891.6,0.0,0.0,2015,1,1,3
2015-01-02,0.0,0.0,0.0,415609.53,1053375.0,384609.9,0.0,0.0,2015,1,2,4
2015-01-03,0.0,0.0,0.0,492834.47,1216754.2,524360.25,0.0,0.0,2015,1,3,5
2015-01-04,0.0,0.0,0.0,484310.66,1197360.9,540491.4,0.0,0.0,2015,1,4,6
2015-01-05,0.0,0.0,0.0,496480.66,1234322.1,550704.6,0.0,0.0,2015,1,5,0
2015-01-06,0.0,0.0,0.0,379400.3,1013917.7,452245.22,0.0,0.0,2015,1,6,1
2015-01-07,0.0,0.0,0.0,404468.56,1114138.4,499119.4,0.0,0.0,2015,1,7,2
2015-01-08,0.0,0.0,0.0,442615.8,1031076.56,463668.03,0.0,0.0,2015,1,8,3
2015-01-09,0.0,0.0,0.0,510856.4,1305480.9,617079.94,0.0,0.0,2015,1,9,4
2015-01-10,0.0,0.0,0.0,508315.34,1277409.2,626989.0,0.0,0.0,2015,1,10,5
2015-01-11,0.0,0.0,0.0,304519.1,965154.8,487285.8,0.0,0.0,2015,1,11,6
2015-01-12,0.0,0.0,0.0,476718.12,1199846.8,582205.2,0.0,0.0,2015,1,12,0
2015-01-13,0.0,0.0,0.0,408702.12,941897.75,268559.6,0.0,0.0,2015,1,13,1
2015-01-14,0.0,0.0,0.0,312156.5,1023527.0,475497.4,0.0,0.0,2015,1,14,2
2015-01-15,0.0,0.0,0.0,173173.02,352433.78,72641.055,0.0,0.0,2015,1,15,3
2015-01-16,0.0,0.0,0.0,416249.78,1063156.6,519883.8,0.0,0.0,2015,1,16,4
2015-01-17,0.0,0.0,0.0,447376.75,1076324.8,454381.25,0.0,0.0,2015,1,17,5
2015-01-18,0.0,0.0,0.0,151409.92,470785.88,174285.33,0.0,0.0,2015,1,18,6
2015-01-19,0.0,0.0,0.0,421381.72,1008769.7,388334.16,0.0,0.0,2015,1,19,0
2015-01-20,0.0,0.0,0.0,137961.36,440568.03,259555.44,0.0,0.0,2015,1,20,1
2015-01-21,0.0,0.0,0.0,209287.11,565563.5,370995.22,0.0,0.0,2015,1,21,2
2015-01-22,0.0,0.0,0.0,352870.22,823115.8,432788.5,0.0,0.0,2015,1,22,3
2015-01-23,0.0,0.0,0.0,398569.7,1072953.2,617432.1,0.0,0.0,2015,1,23,4
2015-01-24,0.0,0.0,0.0,489026.94,1169532.9,627314.44,0.0,0.0,2015,1,24,5
2015-01-25,0.0,0.0,0.0,494292.66,1189086.8,616039.2,0.0,0.0,2015,1,25,6
2015-01-26,0.0,0.0,0.0,495027.53,1115377.2,400427.78,0.0,0.0,2015,1,26,0
2015-01-27,0.0,0.0,0.0,428933.25,1034049.75,542801.1,0.0,0.0,2015,1,27,1
